"Subject Code","Course Number","Course Title","Course Description","Credits - Academic Credit - Units","Credits - Academic Credit - Credit Hours Max","Credits - Academic Credit - Credit Hours Value","Credits - Academic Credit - Credit Hours Operator","Cross Listed Courses","Co-Convened Courses","Dual-Listed Courses","Equivalent Courses","Notes","Course Typically Offered"
"ASI","742","Cybersheep: A Genetic Simulation Game","The goal of this course is for students to be able to make informed and effective decisions in a livestock breeding program. In order to accomplish this goal, the course will provide hands-on experience with selection and mating decisions, and their consequences through a genetic simulation. Genetic gains require time to achieve and there is very little opportunity for students to witness the consequences of breeding decisions in a course. The simulation is designed to offer an opportunity to see in real-time, the outcome of decision-making, and to experience the stochastic (chance) elements of a breeding program. ","1","1","-","-","-","-","-","-","-","Fall"
"ASI","874","Marker Assisted and Gene-Assisted Selection","The goal of this module is to increase student understanding of potential methods for incorporating marker genetic information into selection decisions. Topics will include but are not limited to recombination, single-gene tests, molecular breeding values, suggested producer guidelines for use of the technologies, and incorporation of genomic information into genetic prediction procedures. ","1","1","-","-","-","-","-","-","-","Spring"
"ATM","240","Principles of Injury Prevention","This is an overview course that will cover a variety of safety and health topics focusing on injury prevention in the home, motor vehicle, public, and work environments. The enduring understanding that forms the basis for every discussion and activity in this course is all of us make decisions every day that impact our safety as well as the safety of those around us. ","3","3","-","-","-","-","-","-","Three hours lecture a week.","Fall"
"ATM","245","Introduction to Biomanufacturing Technology","History of biomanufacturing technology and its impact; overview of related industries including biopharmaceuticals, cellular agriculture, precision fermentation, and brewing; careers; fundamentals of biomanufacturing processes including cell types, gene technology, and unit operations.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"ATM","541","Introduction to Food Engineering Laboratory Exercises","Laboratory experiments supplementing ATM 540.","1","1","-","-","-","-","-","-","Three hours lab a week.","Fall"
"ATM","550","Precision Agriculture Technologies","Application of precision technologies for gathering information to assist decision making for production systems. Topics will include global positioning systems, vehicle guidance systems, crop yield monitors, variable rate control systems for applicators, and the communication among these devices. ","3","3","-","-","-","-","-","-","Two hours recitation and two hours lab a week.","Fall"
"AVM","112","Aircraft Welding","Theory and skill development in aircraft welding processes. Exercises in gas welding processes as applied to ferrous and nonferrous materials. Oxygen/acetylene, inert gas, and resistance welding processes are to be studied. ","2","2","-","-","-","-","-","-","One hour recitation and three hours lab a week.","Spring"
"AVT","340","Human Factors in Aviation","Explores the physical environment and physiology limitations imposed on the aviation professional. Health, fatigue, human behavior and errors, communication, team building, leadership, situation awareness, crew resource management, judgment, and aeronautical decision making are studied to achieve safe and efficient operation. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"BAE","643","Life Cycle Assessment","Introduction to the life cycle assessment methodology for quantifying environmental impacts of products, processes, and systems. Topics include life cycle methodology, data inventory process and databases, life cycle impact modeling approaches and software, uncertainty quantification, and practical applications to demonstrate life cycle assessment as a tool for making decisions to improve sustainability of materials, products, and systems.","3","3","-","-","-","-","-","-","Three hours recitation per week.","Spring"
"BAE","750","Analysis and Design of Off Road Vehicles","Analytical study of design, testing, construction, and operating characteristics of off-highway vehicles and machinery. Includes human factors, mobility, and precision agriculture. ","3","3","-","-","-","-","-","-","Two hours recitation and three hours lab a week.","On sufficient demand"
"BIOL","504","Plant Ecology","Study of the diversity and distribution of vegetation, relationships of plants to their physical environment, plant-animal-microbe interactions, population structure and dynamics, and plant community structure diversity, and succession. Field exercises focusing on methods of grassland and forest vegetation sampling and analysis. ","3","3","-","-","-","-","-","-","-","Fall"
"BIOL","607","Human Genetics","An exploration of human genetics from a molecular perspective, grounded in clinical applications. Provides theoretical knowledge and practical skills in human genome analysis, emphasizing the analysis of case studies and molecular diagnostics techniques. Through a combination of lectures, hands-on laboratory exercises, and discussions, students will examine the implications of genetics and genomics for medicine, clinical diagnostics, genetic counseling, and related fields.","3","3","-","-","-","-","BIOL807","-","One hour of lecture and two two-hour lecture/labs per week.","Spring"
"BIOL","671","Immunology Laboratory","Laboratory exercises in immunology.","2","2","-","-","-","-","-","-","Three-hour lab a week plus one hour recitation.","Spring"
"BIOL","807","Human Genetics","An exploration of human genetics from a molecular perspective, grounded in clinical applications. Provides theoretical knowledge and practical skills in human genome analysis, emphasizing the analysis of case studies and molecular diagnostics techniques. Through a combination of lectures, hands-on laboratory exercises, and discussions, students will examine the implications of genetics and genomics for medicine, clinical diagnostics, genetic counseling, and related fields.","3","3","-","-","-","-","BIOL607","-","One hour of lecture and two two-hour lecture/labs per week.","Spring"
"BIOL","831","Host-Pathogen Interactions","Explores fundamental aspects of the mechanisms, ecology, and evolution of host-pathogen interactions. Students will have the opportunity to gain in-depth knowledge of these topics through reading, discussion, presentation, and writing exercises.","3","3","-","-","-","-","-","-","-","Fall-Even Years"
"BME","470","Biomedical Device Components","This course addresses medical device hardware components: electronic and electromechanical circuits and sub-systems that in aggregate perform medical device functionality. Passive/active electronic components include LED emitters, diode circuits, transistor assemblies, operational amplifier configurations, filters, and power supplies. Medical devices such as ventilators, insulin pumps, pacemakers, defibrillators, and IV pumps will provide context for homework assignments and hands-on laboratory exercises.","3","3","-","-","-","-","-","-","2 hours lecture; 3 hours laboratory","Spring"
"BUS","110","Introduction to Business","This course surveys the objectives, decisions, and activities within a business organization. Topics include a study of management responsibilities and controls, organizational structures, and marketing activities. ","3","3","-","-","-","-","-","-","-","Fall"
"BUS","366","Management with Information Technology","A comprehensive view of the role of information technology in satisfying organizations' information requirements. Problems and techniques concerning the management of responsive information systems with special attention to managers' use of systems outputs. Cases and hands-on exercises emphasizing the use of information systems in decision making, information gathering and organizing, use of modeling techniques, and presentation of information. ","3","3","-","-","-","-","-","-","-","Spring"
"BUS","410","Managerial and Project Economics","Economic analysis of problems as applied to managerial decision making. Students consider the economic viability of solutions in engineering and a variety of other kinds of projects common in technology-oriented businesses.","3","3","-","-","-","-","-","-","-","Fall"
"BUS","450","Integrated Finance","Study of the basic principles of finance, including discounted cash flow analysis, risk-return tradeoff, asset pricing models, and financial and real asset valuation. Applications of these concepts to the firm's investment and financing decisions and performance analysis will be discussed. ","3","3","-","-","-","-","-","-","-","Spring"
"CDPLN","702","Community Engagement","This course is designed to help students add to their knowledge base and build their confidence in community engagement so that dialogue and deliberations leading to public decision making can be more productive and positive for everyone involved.","3","3","-","-","-","-","-","-","-","Fall-Odd Years"
"CE","501","Project Economic Evaluation","This course provides an introduction to the economic evaluation of projects and the fundamental principles for comparing alternative projects. Students will learn core engineering economics concepts, including the time value of money, inflation, depreciation, and taxes. Through practical applications, students will develop the skills to make informed financial decisions in various engineering contexts.","1","1","-","-","-","-","-","-","Three 50-minute lectures per week for one third of the semester.","Fall, Spring"
"CHE","643","Life Cycle Assessment","Introduction to the life cycle assessment methodology for quantifying environmental impacts of products, processes, and systems. Topics include life cycle methodology, data inventory process and databases, life cycle impact modeling approaches and software, uncertainty quantification, and practical applications to demonstrate life cycle assessment as a tool for making decisions to improve sustainability of materials, products, and system","3","3","-","-","-","-","-","-","Three hours recitation per week.","Spring"
"CHM","315","Environmental Science: A Chemistry Perspective","An analysis of important technological developments and their impact on society and on the earth's environment; ethical issues raised by technological advances. History, matter and energy, ecosystems, population issues, air pollution, water pollution, hazardous substances, environmental policies, and decision making are discussed. ","3","3","-","-","-","-","-","-","-","Fall"
"CIS","015","Undergraduate Seminar","Presentation of professional problems and practices by students, faculty, and industry professionals associated with computing and information sciences. ","0","0","-","-","-","-","-","-","One hour lecture per week. Required of all undergraduate students new to the department.","Fall, Spring"
"CIS","115","Introduction to Computing Science","A survey of the discipline of Computing Science and its interaction with other disciplines, incorporating historical development, theories, and tools of Computing Science (algorithm design and programming). Topics include: mechanical and digital computers, computational thinking, security, simulation, data science, web technologies, and more. Students will be able to explore real-world problems within computer science and research current topics.","2","2","-","-","-","-","-","-","2 hours lecture per week.","Fall, Spring"
"CIS","116","Introduction to Programming","An introduction to programming by exploring core concepts such as variables, conditionals, iteration, basic data structures,  functions, and classes. Hands-on activities to learn and apply concepts to real-world problems and ideas. Students will gain a solid foundation in programming, setting the stage for further study and professional use.","1","1","-","-","-","-","-","-","2 hours lab per week.","Fall, Spring"
"CIS","118","International Professional Development Experience","Participation in various professional development activities at an international university.","1","1","-","-","-","-","-","-","-","Spring"
"CIS","190","Undergraduate Seminar in Computing and Information Science","Topics of special interest in computing and information sciences.","1","3","-","-","-","-","-","-","-","Fall"
"CIS","200","Programming Fundamentals","Principles of algorithm design and their application to procedural programming: state, control structures, methods. Patterns of conditional and iterative control structure.  Program testing. Introduction to arrays, classes, and objects.  Programming projects.","4","4","-","-","-","-","-","-","-","Fall, Spring"
"CIS","208","C Programming for Engineers","This course introduces the application of computing to solve engineering problems using the C programming language. Students will develop foundational skills in abstraction, algorithmic thinking, and structured problem solving. Other key topics include control structures, input/output operations, functions, array processing, and memory management.","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"CIS","209","Python Programming for Engineers","This course introduces the application of computing to solve engineering problems using the Python programming language. Students will develop foundational skills in abstraction, algorithmic thinking, and structured problem solving. Other key topics include control structures, input/output operations, functions, and array processing.","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"CIS","290","Foundational Topics in Computer Science","Selected foundational topics in computer science.","1","4","-","-","-","-","-","-","Prerequisite varies with the announced topic, instructor permission required.","Fall, Spring, Summer"
"CIS","300","Data and Program Structures","A study of common data and program structures together with associated algorithms. Topics include interfaces, design patterns, arrays, stacks, queues, lists, trees, hash tables, recursion, binary search, and tree traversals. Experience with both use and implementation of these structures and algorithms using a modern programming language. Discussion of tradeoffs involving performance and software maintainability. ","3","3","-","-","-","-","-","-","Six hours lab a week.","Fall, Spring"
"CIS","301","Logical Foundations of Programming","Logical formalisms used to model and reason about computer systems. Propositional and predicate logic, syntax, semantics, and proof theory; soundness and completeness issues. Mathematical induction. Program verification: invariants and program logics. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"CIS","308","C Language Laboratory","Fundamentals of programming in C.","1","1","-","-","-","-","-","-","Three hours lab a week.","Fall, Spring"
"CIS","351","Cyber Defense Basics","Knowledge and skills needed to administer and defend computer networks and systems. Topics include the basics of computer networks, intelligence gathering, network scanning and sniffing, password security and cracking, vulnerability exploitation, distributed denial of service, logging and auditing, and wireless network security and cracking. Practice using an isolated computing network. ","1","1","-","-","-","-","-","-","One and a half hours recitation a week.","Fall, Spring"
"CIS","397","Honors Seminar in Computer Science","Honors Seminar in Computer Science","1","3","-","-","-","-","-","-","-","Other"
"CIS","400","Object-Oriented Design, Implementation, and Testing","A study of concepts and techniques used to produce quality software programs. Object-oriented concepts, models, execution environments, design and testing techniques. Extensive application of these concepts and techniques to the development of non-trivial software programs. ","3","3","-","-","-","-","-","-","Three hours recitation a week.","Fall, Spring"
"CIS","415","Ethics and Conduct for Computing Professionals","A study of the ethical issues raised by computing technologies and the impact on society. Exploration of how one might justify actions in regard to ethical dilemmas within the fields of technology, computer science, information security, and artificial intelligence. Other topics include an examination of terminology used, Profession Codes of Conduct for computer science professionals, ethics of software development, and ethical issues relating to privacy and intellectual property in cyberspace.","3","3","-","-","-","-","-","-","-","Fall, Spring"
