"Subject Code","Course Number","Course Title","Course Description","Credits - Academic Credit - Units","Credits - Academic Credit - Credit Hours Max","Credits - Academic Credit - Credit Hours Value","Credits - Academic Credit - Credit Hours Operator","Cross Listed Courses","Co-Convened Courses","Dual-Listed Courses","Equivalent Courses","Notes","Course Typically Offered"
"CIS","645","Software Development Environments","Survey of current development environments and/or an in-depth study of one development environment.","3","3","-","-","-","-","-","-","-","On sufficient demand"
"CIS","655","Security and Reliability of Computing Systems","Fundamentals of security and reliability of computing systems from both hardware and software perspectives. Topics include symmetric and asymmetric cryptography, artificial intelligence (AI) safety and security, selected topics from hardware-based security, introduction to reliability and fault tolerance, hardware fault tolerance, and software fault tolerance. ","3","3","-","-","-","-","-","-","-","Fall"
"CIS","690","Implementation Projects","The department will suggest various design or implementation projects for individuals or groups in areas such as translators, interpreters, microprogramming, minicomputer operating systems, graphics, numerical software, etc. ","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"CIS","705","Programming Languages","Programming language concepts, including typing, scoping, abstraction and exceptions; programming paradigms, including one or more of logic, functional, object-oriented and concurrent programming, and programming languages supporting the selected paradigms; introduction to programming language semantics; programming language design; development environments. ","3","3","-","-","-","-","-","-","Not available for credit to students with credit in CIS 505.","Fall"
"CIS","706","Translator Design I","Compilers and interpreters, including description of languages, finite state scanners. LL(1) parsing, symbol tables, syntax-directed semantics, simple code generation. Constructing a simple compiler. ","3","3","-","-","-","-","-","-","-","Fall"
"CIS","720","Advanced Operating Systems","Process synchronization and communication, distributed programming primitives, transactions and concurrency control, distributed scheduling, distributed storage, deadlock, security. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","721","Real-Time Systems","The design of hard real-time embedded systems, including language and operating system support, scheduling, schedulability analysis, fault tolerance, and design tools. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","722","Operating System Practices","Structure and functions of modern operating systems. Emphasis on reading and modifying the source code of a working operating system. This includes memory management, input/output, process management, file systems, and network interconnection software construction. ","3","3","-","-","-","-","-","-","-","Spring"
"CIS","725","Advanced Cmputer Networks","Network algorithms; routing and congestion control; protocol engineering; protocol decomposition, specification and verification, synthesis; protocols for high speed networks; parallel implementations, light-weight protocols. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","726","Advanced World Wide Web Technologies","An advanced course on the technologies that make up the World Wide Web. WWW site designs and analysis, WWW software architecture, server-side technologies, dynamic executable scheduling, digital libraries, WWW security. ","3","3","-","-","-","-","-","-","-","Spring"
"CIS","730","Principles of Artificial Intelligence","Introduction to the fundamental concepts and techniques of AI: problem solving, search and planning, knowledge representation and qualitative reasoning, expert systems, natural language processing and cognitive modeling, computer vision, and machine learning. ","3","3","-","-","-","-","-","-","-","Spring"
"CIS","731","Programming Techniques for Data Science and Analytics","Intermediate programming techniques for data science. Survey of programming concepts that underlie MapReduce, Apache Hadoop, and Spark, along with related tools. NoSQL, search tools, graph databases, and visualization presented in the context of real-world problems involving data integration and transformation. ","3","3","-","-","-","-","-","-","-","Fall"
"CIS","732","Machine Learning and Pattern Recognition","Theory and methodology of inductive learning, including decision trees, artificial neural networks, probabilistic and instance-based learning, and inductive logic programming; unsupervised and reinforcement learning, bagging and boosting; genetic algorithms and genetic programming; and applications to data mining. ","3","3","-","-","-","-","-","-","-","Fall"
"CIS","733","Data Science Foundations","Methods used for making discoveries in complex data and turning data into knowledge. Handling big data and """"small data"""", feature engineering, convolutions, classification, regression, using clustering for discovery, novelty detection, statistical inference, research design, prescriptive analytics, and more. Using standard software packages and libraries for preparing and analyzing data, implementing supervised machine learning, and visualization. ","3","3","-","-","-","-","-","-","-","Fall"
"CIS","734","Introduction to Genomics and Bioinformatics","A problem solving approach to understanding genomics and bioinformatics. Practical use of databases and web-based tools used to study biological problems. Introduction to the algorithms behind these tools.","4","4","-","-","-","-","-","-","Three hours lecture and one-and-a-half hours lab a week.","Spring-Even Years"
"CIS","736","Computer Graphics","Topics in computer representation and display of images and graphic interaction.","3","3","-","-","-","-","-","-","-","Other"
"CIS","737","Advanced Computer Vision","Theory and applications of computer vision. Introduction to computer vision, introduction to image formation, binary image processing, image enhancement and ltering, computational photography, geometric transforms, image features, image recognition, video analysis, deep learning-based computer vision, convolutional neural networks, and other selective topics on computer vision.","3","3","-","-","-","-","-","-","Not available for credit to students with credit in CIS 537.","Spring"
"CIS","738","Responsible Use of Artificial Intelligence and Machine Learning","The course covers the theory and practice of AI and machine learning ethics. Topics include AI bias, robustness of AI systems, fairness in AI, AI and privacy, safe uses of AI, statistical inference of AI/ML results, and more. The course also includes a final project focused on the analysis of a real-word AI system.","3","3","-","-","-","-","-","-","-","Spring"
"CIS","739","Natural Language Processing","This graduate elective introduces deep learning methods for natural language processing, covering neural architectures such as CNNs, RNNs, transformers, and large language models. Students gain hands-on experience implementing and evaluating NLP models in PyTorch, with emphasis on representation learning, attention, transfer learning, prompting, and real-world applications.","3","3","-","-","-","-","-","-","-","Spring"
"CIS","740","Software Engineering","Software life cycle, requirements, specifications, design, validation, measures, and maintenance. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","744","Advance Software Analysis and Design","Advanced concepts and practicum in object-oriented analysis, modeling, design, implementation, testing, and use of CASE tools; relationships among structural, static, and dynamic models; relationship among conceptual, system, and implementation models. ","3","3","-","-","-","-","-","-","Not available for credit to students with credit in CIS 544.","S,U"
"CIS","746","Software Measurement","Measurement theory; development, validation and use of software measures; software measures in the life cycle, including cost estimation, design measures, software complexity and software reliability. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","748","Advanced Software Management","Topics related to the management of software, including organization, project planning, process models, life cycle models, TQM, software quality assurance, cost estimation, configuration management. ","3","3","-","-","-","-","-","-","-","S,U"
"CIS","750","Advanced Computer Architecture","Fundamentals of quantitative design of computer architectures, memory hierarchy design, instruction-level parallelism, data-level parallelism, thread-level parallelism, parallel programming, parallel performance analysis, and warehouse-scale computers. ","3","3","-","-","-","-","-","-","Two hours lecture and three hours lab a week.","On sufficient demand"
"CIS","751","Computer And Information Security","A comprehensive coverage of computer and information security. Basic cryptography, access control, authentication, authorization, network security, software security, and social aspects of security. The lectures discuss when and where things can go wrong and how design flaws in a system can be exploited to compromise security. Common attack techniques are introduced, and students have the opportunity to work on course projects that cover both the defense and offense aspects in cyberspace. ","3","3","-","-","-","-","-","-","Not available for credit to students with credit in CIS 551.","Fall"
"CIS","753","Applied Cryptography","Fundamentals of cryptography, including mathematical background, classical ciphers, public key encryption, block and stream ciphers, cryptographic hash functions, digital signatures, common attacks, and basic network security. ","3","3","-","-","-","-","-","-","-","Spring"
"CIS","755","Systems Security","In-depth coverage of advanced theoretical and practical security techniques with emphasis on construction of new systems and auditing and repair of existing security-critical systems using rigorous design, risk analysis, and engineering methods and application of state-of-art theoretical tools. ","3","3","-","-","-","-","-","-","-","Spring"
"CIS","761","Data Base Management Systems","Data models and languages, hierarchical, network, relational systems; implementational and operational requirements; programming projects using data base management systems.","3","3","-","-","-","-","-","-","-","Other"
"CIS","762","Office Automation","Characteristics of information work; modeling systems for characterizing aspects of office environment; form-based systems; office automation and description languages, ergonomics, local area networks and tools used in the automation of offices. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","764","Database Design","Conceptual, logical, physical, and user interface design for database management systems. ","3","3","-","-","-","-","-","-","-","On sufficient demand"
"CIS","770","Formal Language Theory","Regular languages, finite automata, context-free languages, pushdown automata, context-sensitive languages, linear bounded automata, recursively enumerable languages, Turing machines. ","3","3","-","-","-","-","-","-","Not available for credit to students with credit in CIS 570.","Spring"
"CIS","771","Software Specification","Formal logic or specification of software components; algebraic vs. model-based specifications; common abstract types; verification of properties of specifications; introduction to specification of concurrent systems.","3","3","-","-","-","-","-","-","-","Other"
"CIS","775","Analysis of Algorithms","Study and application of techniques and procedures used in the analysis of algorithms including the worst and average cases of both time and space. Study of the P and NP classes.","3","3","-","-","-","-","-","-","-","Fall"
"CIS","798","Topics in Computer Science","Topics in Computer Science","1","18","-","-","-","-","-","-","-","Other"
"CIS","801","Translator Design II","LR parsing, storage allocation, code generation, data flow optimization, compiler generators. ","3","3","-","-","-","-","-","-","-","On sufficient demand"
"CIS","806","Semantics of Programming Languages","Introduction of formal semantics description methods for programming languages; comparison of operational, denotational, algebraic, and axiomatic methods; analysis of relationship of formal semantics definitions to computer implementation. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","810","Logic Programming","Selected topics; constraint logic programming, deductive databases, concurrent logic programming, object-oriented logic programming, mathematical theory of logic programming specification and transformation of logic programs. ","3","3","-","-","-","-","-","-","Knowledge of Prolog.","Other"
"CIS","820","Topics in Theory of Asychronous Systems","Safety and liveness properties, synchronous and asynchronous message passing systems, virtual circuit and datagram communication, process failure, concepts of composition and superimposition, temporal logic, reachability analysis, theory of concurrency control, atomic commitment, replica control. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","825","Topics in Distributed Systems","Models of distributed computation, events and global states, failure semantics, communication abstractions, synchronization in distributed programs; distributed algorithms: election, termination and deadlock detection, broadcast programming and algorithms. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","826","Protocol Engineering","Basic concepts of protocol design, specification languages and formal description techniques, safety and liveness properties, protocol validation, protocol synthesis, protocol translation and conformance testing. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","830","Current Topics in Artificial Intelligence","Advanced techniques and new ideas in artificial intelligence. Includes applications and case studies of artificial intelligence in action.","3","3","-","-","-","-","-","-","-","Other"
"CIS","831","Deep Learning","Foundations of deep learning, with focus on different types of modern neural network architectures (such as convolutional neural networks, recurrent neural networks, and transformers). Regularization and optimization in the context of deep learning. Frameworks and tools for building and training deep neural networks.  ","3","3","-","-","-","-","-","-","-","Fall"
"CIS","832","Knowledge Representation for the Semantic Web","Knowledge representation languages for data sharing and integration, in particular the W3C Semantic Web standards RDF, OWL and SPARQL; state of the art knowledge graph and knowledge graph schema modeling process; ontology design patterns; modular ontology engineering. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"CIS","833","Information Retrieval and Text Mining","Theory and practice of search engines for retrieving textual information; basic and advanced topics, with emphasis on newer technologies that go beyond simple keyword search; the use of MapReduce framework to process large collections of documents. ","3","3","-","-","-","-","-","-","Instructor permission.","Fall"
"CIS","834","Machine Learning for Bioinformatics","The course will cover some of the most important machine learning algorithms (including semi-supervised and transfer learning algorithms) and their applications to bioinformatics.","3","3","-","-","-","-","-","-","Instructor permission.","Spring-Odd Years"
"CIS","835","Neuro-Symbolic Artificial Intelligence: Deep Learning and Knowledge Representation","State of the art in combining deep learning with symbolic artificial intelligence approaches based on the newest research publications on the topic.","3","3","-","-","-","-","-","-","Instructor permission","Spring"
"CIS","836","Knowledge Graphs","State of the art in knowledge graph based data management and applications; based on the newest research publications on the topic.","3","3","-","-","-","-","-","-","Instructor permission","Spring"
"CIS","841","Verification and Validation","Practical techniques for verifying and validating software including formal verification, software testing, reliability measurement and modeling. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","842","Specification & Verification of Reactive Systems","Review of formal specification languages; architecture of concurrent and reactive systems; specification methods including: Z, Petri nets, temporal logic, state transition models; development and evaluation of system specifications; verification structures including layered systems, serialization, and predicate automata. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","844","Agent-Oriented Software Engineering","Analysis, design, and implementation of large, complex, distributed, and adaptive software systems using agent-oriented paradigm. Will survey various modeling languages and agent-oriented methodologies. ","3","3","-","-","-","-","-","-","-","Spring"
"CIS","855","High Assurance Systems","Techniques for developing high assurance (safety critical, security critical, or mission-critical in nature) systems. Topics include writing requirements for safety-critical systems, formal architecture definition, risk management techniques including various forms of hazard analysis, safety systems, and verification and validation. ","3","3","-","-","-","-","-","-","-","Spring"
"CIS","860","Advanced Database Systems","Advanced topics in database and intelligent information systems. Possible topics include active, temporal, object-oriented, and multimedia databases, warehousing and data mining. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","861","Data Science in Practice","Application of data science paradigms, tools, and protocols to solve real-world problems within science and industry. ","3","3","-","-","-","-","-","-","Instructor consent.","Spring"
"CIS","864","Data Engineering","Advanced topics in database design and maintenance including performance monitoring, query optimization and tuning in centralized and distributed data systems. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","870","Automata and Computability I","Formal models for computability; universal programs; Church's thesis; unsolvable problems and reducibilities; partial recursive functions; recursive and recursively enumerable sets; s-m-n theorem and the recursion theorem.","3","3","-","-","-","-","-","-","-","Other"
"CIS","890","Special Topics in Computer Science","Topics of the current state-of-the-art of computer science.","2","4","-","-","-","-","-","-","-","Fall, Spring, Summer"
"CIS","895","Mse Project","This course takes the student through the process of developing a project. This process typically takes more than one semester to complete. Includes reviews and walkthroughs of the requirements, design, and implementation. ","0","6","-","-","-","-","-","-","-","Other"
"CIS","897","Seminar in Computer Science","Introduction to computing as a discipline; the relationship of computing to other disciplines; the interaction of computing and ethics; the development of a written and oral research proposal.","1","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"CIS","898","Master's Report in Computer Science","Master's Report in CIS","1","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"CIS","899","Research in Computer Science","Research in Computer Science","1","6","-","-","-","-","-","-","-","Other"
"CIS","905","Theory of Programming Languages","Formal definition languages; operational and formal semantic models; equivalence of semantic models; formal properties of programming languages.","3","3","-","-","-","-","-","-","-","Other"
"CIS","920","Research Topics in Distributed Systems","Topics on current state-of-the-art research in distributed systems.","3","3","-","-","-","-","-","-","Permission of the instructor.","Other"
"CIS","940","Theory of Software Engineering","Research on one of the topics in CIS 840.","3","3","-","-","-","-","-","-","-","Other"
"CIS","960","Theory of Data Base Systems","Advanced topics in data base systems including distributed data bases, integrity, security, normalization, data base machines, performance models, query languages. ","3","3","-","-","-","-","-","-","-","Other"
"CIS","990","Research Topics","Study of current topics in computer science.","1","3","-","-","-","-","-","-","Permission of the instructor.","Other"
"CIS","999","Research in Computer Science","Research in Computer Science","1","18","-","-","-","-","-","-","-","Other"
"CMST","110","Introduction to Visual Basic","Computer programming using Visual Basic for students who are not majoring in computer systems technology or web development technology. Topics include variable and constant declarations, data types, arithmetic expressions, decision structures, repetition structures, sequential files and arrays. Emphasis on problem solving and program structure.    ","3","3","-","-","-","-","-","-","-","Fall"
"CNRES","300","Introduction to Conflict Resolution","This course is a survey of conflict resolution strategies that will provide students with the knowledge and applicable skills to be better classmates, friends, and co-workers in their future careers. It is applicable for a wide array of majors and disciplines. Emphasis will be given equally to foundational concepts of how to manage conflict more effectively, as well as in-class exercises that allow students to practice these new skills. ","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"CNRES","532","Conflict Resolution Across Cultures & Contexts","The course explores the cultural components of conflict by examining the dynamics of interpersonal beliefs and socialization, cross cultural conflict theory, and issues related to application in a variety of settings. This course is designed to be an exercise in critical thinking, cultural exploration, and self-reflection. ","3","3","-","-","-","-","-","-","-","Fall"
"CNRES","537","Elder and Family Decision Making","This course focuses on the specialized skills and techniques for successfully facilitating adult family conversations around issues such as living arrangements, caregiving, driving, medical decisions, family communication, financial planning, inheritance/personal property distribution, trusts and estates. ","3","3","-","-","-","-","-","-","-","Intersession"
"CNRES","752","Culture and Conflict","This course is an exercise in critical thinking, cultural exploration, and self-reflection. It explores the cultural dimensions of conflict, including the role of culture in defining conflict for individuals and groups. The dynamics of interpersonal beliefs and socialization, cross cultural conflict theory, and issues related to application are also examined. ","3","3","-","-","-","-","-","-","-","Fall"
"CNRES","757","Elder and Family Decision Making","This course focuses on the specialized skills and techniques for successfully facilitating adult family conversations and around issues such as living arrangements, caregiving, driving, medical decisions, family communication, financial planning, inheritance/personal property distribution, trusts and estates. ","3","3","-","-","-","-","-","-","-","Intersession"
"COMM","105","Public Speaking 1A","Alternate to COMM 106. Principles and practice of message preparation, audience analysis, presentational skills, and speech criticism. ","2","2","-","-","-","-","-","-","Primarily granted for students whose curricula require a 2-credit hour course. Credit not granted for both COMM 105 and 106.","Fall, Spring, Summer"
"COMM","106","Public Speaking l","Principles and practice of message preparation, audience analysis, presentational skills, and speech criticism permitting greater practice in oral presentation. ","3","3","-","-","-","-","-","-","Credit not granted for both COMM 105 and 106.","Fall, Spring, Summer"
"COMM","325","Argumentation and Debate","Basic theories of argumentation with emphasis on the construction and criticism of well reasoned and supported positions.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"COMM","431","Criticism of Public Discourse","An examination of public influence based on study of historical and contemporary models of rhetorical criticism. The students' critical experiences will focus on a broad array of public discourse including political, social, and cultural messages. ","3","3","-","-","-","-","-","-","-","Fall"
"COMM","535","Communication and Leadership","A study of the ways in which leadership in differing contexts is defined and exercised through communication. Constructs examined include: credibility, charisma, vision, power, myth, and public memory. ","3","3","-","-","-","-","-","-","-","Spring"
"COMM","730","Classical Rhetorical Theory","Study of rhetorical theory and criticism from early Greek to Roman times.","3","3","-","-","-","-","-","-","-","Fall"
"COMM","733","Rhetorical Criticism","Study of traditional and contemporary approaches to the analysis of public discourse.","3","3","-","-","-","-","-","-","-","Spring"
"COMM","834","The Rhetoric of Social Movements","Study of the theory and criticism of social movement rhetoric. Topics may include the development of movement studies as a distinct genre of scholarship within the field of communication studies, questions and controversies in the rhetorical study of movements, and the rationale for protest tactics, from nonviolence to terrorism. ","3","3","-","-","-","-","-","-","-","Fall-Even Years"
"COT","405","Methods of Problem Solving for Integrated Professional Studies","Practice in applying creative problem solving methods to a selection of problems solicited from multiple disciplines. Analysis of student solutions will examine similarities and difference between disciplines with regard to strategic exploration, identifying and validating constraints, testing assumptions, defending choices and approaches, and making decisions. Cases are deliberately chosen such that conventional solutions are not immediately apparent, where procedural algorithms and instructional troubleshooting scripts are inadequate or unavailable, and for which exact solutions might not actually exist. ","3","3","-","-","-","-","-","-","-","Spring"
"COT","480","Professional Conduct, Ethics, and Analysis","Examines the ethical foundations of professional conduct and decision-making in the workplace. Through reading and discussing ethical works, case studies, and contemporary ethical policies/procedures, students will develop the skills necessary for analysis, discourse, and ethical decision-making in a professional work setting. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"COT","676","Low-Altitude Remote-Sensing Product/Project Development","Building on the skills acquired in COT 674 and 675, students fly a low-altitude remote-sensing mission to obtain geospatial data to process, manipulate, and analyze as the means of developing a finished product in areas of interest to the student. Potential areas of investigation include: precision agriculture, environmental remediation, fire management, wildlife studies, or stewardship of managed ecosystems. ","3","3","-","-","-","-","-","-","-","Fall"
"COT","702","Applied Research Skills and Methods","Survey of qualitative and quantitative research methods; use of a range of tools to develop applied research skills focusing on literature reviews. Examines applied research concepts, methods, and skills to foster enlightened decision making in professional practice. ","3","3","-","-","-","-","-","-","Three hours lecture a week.","Spring"
"COT","704","Managerial Finances, Metrics, and Analytics","Provides an overview of an organization's financial statements, with an emphasis on the interaction between people in management positions and those statements, as well as an examination of the business investment decision-making process. Explores the use of metrics and analytics to measure and improve managerial performance. ","3","3","-","-","-","-","-","-","-","Spring"
"COT","706","Informatics and Technology Management","Provides theoretical and practical experience in using information technology to support organizational decision-making processes. Provides tools in areas such as statistics, research methods, data mining, and information technology to develop solutions tailored to business problems. ","3","3","-","-","-","-","-","-","-","Spring"
"CYBR","710","Advanced Data Analytics for Cybernetic Systems","This course prepares students to gather, describe, and analyze data, and use advanced statistical tools to make decisions on operations, risk management, finance, marketing, etc. Analysis is done targeting economic and financial decisions in complex systems that involve multiple partners. Topics include probability, statistics (hypothesis testing, regression), clustering, decision trees, and forecasting. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"DANCE","110","Breathe, Move, Be","Through gentle movement, body awareness and breathing exercises, this course introduces students to the holistic well-being, movement efficiency and creative choice-making that are the result of somatic movement education. A wonderful foundation for any movement practice and excellent recuperation from the demands of academic life, this course is accessible to those with no prior movement training and prioritizes self-knowledge, acquired through the living body.","3","3","-","-","-","-","-","-","-","Fall or Spring"
"DANCE","115","Yoga for Restoration","Improve balance, flexibility and body awareness through an exploration of Yoga postures and breathing exercises. Excellent cross-training and recuperation for performers and athletes, this course also serves anyone seeking to strengthen their body to calm their mind. Key alignment principles and standard modifications to increase or decrease difficulty will be introduced, as will be the basics of Yoga philosophy.","3","3","-","-","-","-","-","-","-","Fall or Spring"
"DEN","325","Engineering Professionalism and Decision Making","An introduction to the complexities of making decisions as an engineer.  Students will explore the relationship between ethics and engineering by applying classical moral theory and decision making concepts to evaluate engineering issues and decisions encountered in academic and professional careers.","1","1","-","-","-","-","-","-","One hour lecture and one hour activity a week.","Spring"
"DMP","610","Feedlot Health Systems","Health of cattle in a commercial feedyard. Includes health risk assessment, cattle handling, processing, vaccination protocols, identification/treatment of sick cattle, necropsy techniques, using computer data to make management decisions for feeder cattle, other management issues. Discussion of disease syndromes and foreign diseases. ","2","2","-","-","-","-","-","-","-","Fall"
"DMP","726","GIS Applications in Animal and Public Health Lab","Through hands-on laboratory exercises different technical methods of applying GIS for health data analysis, spatial analytical methods, model building, cartographic principles and geographic visualization are explored. ","1","1","-","-","-","-","-","-","-","Fall, Spring"
"DMP","830","Quantitative Analysis in Veterinary Medicine","Practical experience managing, describing, and interpreting data from animal health and management systems so that the data can be informative for decision-makers evaluating and implementing health programs, diagnostic strategies, and animal management processes. ","3","3","-","-","-","-","-","-","-","Fall"
"DMP","858","Introduction to Infectious Disease Modeling for Animal Health","This is a graduate-level course focused on understanding and implementing infectious disease models using Excel and Monte-Carlo Statistical Methods as well as Spatially Explicit Stochastic models. The course is focused on food animal diseases using a mixture of lecture, scientific literature evaluation, discussion and hands on computer lab exercises.","3","3","-","-","-","-","-","-","-","Other"
"ECE","540","Applied Scientific Computing for Engineers","Mathematical and programming techniques for solving various classes of numerical problems.  General topics, such as the precision of floating point numbers are also discussed. Statistics, linear algebra and optimization are the primary classes of numerical problems addressed.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"ECE","649","Computer Design I","Concepts of computer design.  Information representation, instruction sets and addressing modes.  Arithmetic and logic unit design for fixed and floating point operations. Hardwired and microprogrammed control design. Concepts of pipelining, CISC and RISC architecture. Memory system design including virtual memory, caches and interleaved memories. I/O design methods, interrupt mechanisms, DMA and system integration. ","3","3","-","-","-","-","-","-","Three hours lecture a week.","Fall, Spring"
"ECE","963","Detection & Estimation Theory","Theoretical foundations of detection and estimation theories. Bayesian decision theory with applications to signal detection in discrete time; concept of sufficient statistic and minimum variance unbiased estimation; Bayesian estimation; best linear unbiased estimation; Kalman filtering and its variants; filtering, smoothing and prediction applications across various engineering fields. ","3","3","-","-","-","-","-","-","Three hours lecture a week.","Spring"
"ECED","597","Home, School, and Community Partnerships","Strategies to enhance home-school communication with specific focus on families as the primary decision-makers for young children, with or without special needs. Emphasis on the development of family focused and culturally sensitive collaborations involving parents, schools, and the community to support child development, learning, and well-being.","3","3","-","-","-","-","-","-","-","Fall"
"ECET","100","Basic Electronics","A survey course designed to provide an overview of basic direct and alternating current circuits and an introduction to linear and digital electronics. Laboratory exercises reinforce circuit theory and provide skills in the use of common electronic instruments.","3","3","-","-","-","-","-","-","Two hours lecture and two hours lab a week.","Fall, Spring"
"ECON","631","Principles of Transportation","Examines the transportation market from the shippers' point of view by examining the impact of transportation on business firm decisions such as location, markets, and prices. Also covers the costs, prices, and service characteristics of railroads, motor carriers, water carriers, oil pipelines and airlines. The role and impact of government in the transportation market is examined from both a promotion and regulation perspective. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"ECON","832","Public Sector Analysis","Conditions for economic efficiency in the public sector; public good production functions; nonmarket decision making; rationale for public sector growth; systems analysis, cost-benefit and related techniques of allocating public goods. ","3","3","-","-","-","-","-","-","-","Other"
"ECON","840","Managerial Economics","Economic analysis of production, cost, and demand functions. Application of economic models to managerial decision making. ","3","3","-","-","-","-","-","-","-","Fall"
"EDACE","833","Digital Leadership Development in Adult Education","Provides an essential introduction into digital leadership development (DLD) in adult education. Helps students acquire the skills and competencies required of adult educational leaders and administrators to make well-grounded decisions in providing leadership on planning and designing digital learning environments and experiences. Also discusses social, ethical, and human issues related to digital leadership development and adult learners.","3","3","-","-","-","-","-","-","-","Summer"
"EDACE","863","Creating a Culture of Evidence and Inquiry","Students will explore how to develop and foster of cultures of evidence and inquiry from enrollment to outcomes. Other important topics include development and use of actionable information to make decisions and measure effectiveness, and  robust common measures to benchmark and improve institutional performance ","2","2","-","-","-","-","-","-","-","On sufficient demand"
"EDACE","922","Policy Formation and Public Process","Designed to provide students with a thorough background to the principal public policy issues that are impacting American community college education.  The background and analysis will be viewed through a specific theory of public policy and decision making as a means of structure.","2","2","-","-","-","-","-","-","-","On sufficient demand"
"EDACE","923","Field Study Policy and Public Process","The opportunity to: (1) examine the theory of public policy and political decision making; and (2) work in-depth on a chosen issue of public policy related to community college education","1","1","-","-","-","-","-","-","-","On sufficient demand"
"EDCEP","110","Study Skills and Strategies","Assists first-year students in developing effective study skills, collaboration skills, and multicultural competencies. Prepares students for the independent learning and decision-making skills needed for their sophomore year and beyond. ","1","3","-","-","-","-","-","-","Recitation.","Fall, Spring"
"EDCEP","120","Academic and Career Decisions","Addresses general principles of academic and career choice through lectures, class discussions, and individual research. Topics include decision-making models and principles; exploration of interests, abilities, and values through career assessments; and academic and career investigation using interactive software, library materials, online resources, and experiential learning opportunities. ","1","1","-","-","-","-","-","-","-","Fall, Spring"
"EDCEP","160","Development and Integrity","Provides a general overview of ethics and ethical decision making in academia and professional life.  It is designed to help students better understand issues about academic misconduct, as well as several approaches to thinking about and resolving ethical dilemmas. ","1","1","-","-","-","-","-","-","-","Fall, Spring, Summer"
"EDCEP","202","Career and Life Planning","Applies theory research concerning assessment interest and career choice-making to individual's planning and decision-making. Focuses on increasing understanding of the complexities of the world of work and on skills of integrating such understanding with each person's planning experience, characteristics, motives, and values in the career exploration process. Reviews resume writing, interviewing skills, and job search techniques. ","2","2","-","-","-","-","-","-","-","Fall, Spring"
"EDCEP","715","Principles of Assessment","Principles of development, administration, evaluation, and constructive instructional use of paper-pencil, product, and performance assessments. Focus on norm-and criterion-referenced uses of teacher-made and published measures as an integral part of effective decision making in education.","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"EDCEP","863","Trends in Career Development","This course addresses the role of work in people's lives across the life span, with an emphasis on the application of career development theories, research, practice, and resources to higher education. Topics are presented to help professionals in higher education facilitate students' academic and career development, planning, and decision-making within the context of the changing world of work. ","3","3","-","-","-","-","-","-","-","Spring"
"EDCEP","927","Higher Education Administration","Administration theory applied to the organization and administration of colleges and universities; special reference to structure, governing boards, administrative roles, decision-making, and analysis of selected problems. ","3","3","-","-","-","-","-","-","-","Spring-Even Years"
"EDCEP","932","Ethical Issues and Practice in Academic Advising","This course explores ethical theories and principles, moral development frameworks, and value issues confronting academic advising leadership. It is based on the premise that all advising professionals are ethicists that make decisions every day. The course incorporates a comprehensive, interdisciplinary approach to ethical theories and practice in academic advising leadership. ","3","3","-","-","-","-","-","-","-","Other"
"EDCI","110","Foundations of Education","Examines the historical, political, philosophical, and sociological foundations of education in the United States including the evolution of career and technical education and changing demographics; ethical and legal issues; governance and financial support; and contemporary curriculum issues. Includes critical thinking and reflective decision making about educational issues. ","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"EDCI","111","Foundations of Rural Education","Examines the historical, political, philosophical, and sociological foundations of education in the United States including the evolution of career and technical education and changing demographics; ethical and legal issues; governance and financial support; and contemporary curriculum issues. Includes critical thinking and reflective decision making about rural educational issues.  ","4","4","-","-","-","-","-","-","-","Fall, Spring, Summer"
"EDCI","112","Foundations of Urban Education","Examines the historical, political, philosophical, and sociological foundations of education in the United States including the evolution of career and technical education and changing demographics; ethical and legal issues; governance and financial support; and contemporary curriculum issues. Includes critical thinking and reflective decision making about urban educational issues.  ","4","4","-","-","-","-","-","-","-","Fall, Spring, Summer"
